,name,state_name,land_wind_,util_pv_te,longitude,latitude
68,Putnam,Florida,2027022.42,55978049.42,-81.74424023483044,29.608605705585884
69,Cameron,Louisiana,1080270.28,23118082.31,-93.19308463585718,29.875147553417637
70,Lake,Florida,1183903.19,45163738.54,-81.71133696257716,28.761487238835183
71,Lafayette,Florida,1370379.81,40953341.18,-83.18116252091066,29.985558372248036
72,Indian River,Florida,1343736.91,33611691.62,-80.6153926482339,27.69284739956353
73,Hardee,Florida,1546807.71,64646569.66,-81.80993650596362,27.49270127962194
74,Glades,Florida,2144771.29,82196363.95,-81.18880612394831,26.95647764457913
75,Gilchrist,Florida,2869646.6,44667363.33,-82.80034942767317,29.725914505652284
76,Gulf,Florida,229986.67,16756115.33,-85.22676355682589,29.955794201595662
77,Ascension,Louisiana,503003.42,14561806.79,-90.91127231544952,30.203498366071823
78,Pinellas,Florida,0.0,1239721.43,-82.72238755615945,27.930875989040043
79,Highlands,Florida,2606499.18,101063009.73,-81.34098821382537,27.34337265134696
80,Hillsborough,Florida,278295.34,52036786.65,-82.30761712398785,27.930041651572342
81,Hendry,Florida,3530457.67,106227973.1,-81.16586149075499,26.55347671181655
82,Hernando,Florida,1301024.44,27288172.71,-82.42063309963764,28.552781523212726
83,Union,Florida,433931.08,26487779.6,-82.37140955693782,30.043885520584755
84,Taylor,Florida,1198604.53,76762046.37,-83.60301388687894,30.04765451785378
85,Collier,Florida,518217.31,33352029.42,-81.34024443616788,26.117471360954728
86,DeSoto,Florida,2295682.61,69560512.56,-81.80934045747853,27.186303316796547
87,Dixie,Florida,1100161.34,51120167.12,-83.15788265557188,29.609910228714522
88,Sarasota,Florida,92950.03,25838717.95,-82.32210894708605,27.180430888712486
89,Seminole,Florida,34457.77,5201561.22,-81.23632378821289,28.717064943190525
90,St. Lucie,Florida,2127913.68,50008175.89,-80.482902921411,27.375873457561024
91,Sumter,Florida,1088701.47,29780106.59,-82.0809850748975,28.704716432306043
92,Levy,Florida,5279094.39,103681193.44,-82.73898299911693,29.321564745164906
93,Lee,Florida,135792.7,28562651.84,-81.82112149723513,26.579179420484326
94,Assumption,Louisiana,1379658.47,17447418.31,-91.06258189099744,29.90077439159883
95,Iberia,Louisiana,1596427.58,28318099.88,-91.73119428659074,29.892957075559142
96,Wakulla,Florida,474019.02,15654686.61,-84.40277041958899,30.16979987739278
97,St. Johns,Florida,703925.27,40572119.38,-81.44362858802118,29.90185471961578
98,Volusia,Florida,400635.97,56324596.26,-81.19278703624695,29.06061593065067
99,St. Mary,Louisiana,786624.91,20629347.07,-91.45105002519882,29.719650047330568
100,Pasco,Florida,761393.16,44354433.92,-82.39122466504877,28.309240566230596
101,Polk,Florida,2221662.96,128947444.93,-81.6975475952042,27.948911920816535
102,Terrebonne,Louisiana,158652.22,11360469.65,-90.86368778746217,29.414979161300195
103,Franklin,Florida,50733.63,4364600.97,-84.81676544184228,29.877566712952376
104,Flagler,Florida,510760.04,31128047.43,-81.31410368640593,29.46059115112289
105,Brevard,Florida,697853.42,34226102.22,-80.74328564196239,28.264853399096243
106,Bradford,Florida,464545.54,31315624.46,-82.16889230903989,29.95012790803323
107,Alachua,Florida,2967493.0,92640056.8,-82.35763901799582,29.674823588819567
108,Clay,Florida,1462644.81,37859177.62,-81.85784732120027,29.983028348547695
109,Broward,Florida,29423.45,4447933.98,-80.48753734071927,26.15181539007612
110,Charlotte,Florida,798584.01,43215954.05,-81.89819351621895,26.90744886940133
111,Citrus,Florida,2233170.26,35010727.17,-82.46967617188966,28.850406897496523
112,Vermilion,Louisiana,7157473.63,87829164.44,-92.32390875026604,29.84548978554356
113,Plaquemines,Louisiana,244232.08,7721188.0,-89.6622228789612,29.474481563231432
114,St. James,Louisiana,925402.33,13248965.38,-90.79621814190087,30.026302957461283
115,St. John the Baptist,Louisiana,86956.82,5330114.11,-90.50749928024314,30.113478561297423
116,St. Charles,Louisiana,114316.25,5329781.99,-90.35807585071834,29.91320519418285
117,St. Bernard,Louisiana,9253.19,1280383.49,-89.57498569938525,29.8726686685304
118,Monroe,Florida,0.0,0.0,-81.0500682141343,25.423117973492825
119,Miami-Dade,Florida,60502.34,19685351.99,-80.56835132815657,25.614811616732222
120,Martin,Florida,1140338.9,36885904.97,-80.43542676144862,27.075100968022646
121,Marion,Florida,7834409.54,103131643.14,-82.05679763503197,29.210205639956897
122,Manatee,Florida,1093112.77,58780507.24,-82.298390085335,27.471332380696598
123,Morris,Kansas,16415730.32,88909456.21,-96.64982266291098,38.68741998745641
124,Butte,California,9515367.85,90498030.11,-121.6006264217578,39.666983965427455
125,San Juan,New Mexico,64679938.39,548115490.08,-108.32059573337091,36.50846986076568
126,San Miguel,New Mexico,67277383.02,376129596.66,-104.8158582999071,35.480285690061066
127,Roosevelt,New Mexico,54739055.93,415111915.85,-103.48017146069017,34.02130949893256
128,Sandoval,New Mexico,36137953.92,225141744.77,-106.86592779065178,35.68874924123948
129,Jefferson,Kansas,11097761.13,51805918.48,-95.38339548316152,39.2358030047003
130,Santa Fe,New Mexico,22019447.38,142752240.22,-105.97612997627829,35.50685952952509
131,Pushmataha,Oklahoma,15163441.16,70397397.34,-95.37579000772425,34.416202838290786
132,Alpine,California,230467.63,566237.71,-119.8207368420352,38.59734350591912
133,Ellsworth,Kansas,17178296.38,88764766.24,-98.20477432760504,38.696641301340115
134,Pittsburg,Oklahoma,20104305.66,97618216.14,-95.74843634445031,34.92390191791733
135,Randall,Texas,19837608.28,132130332.79,-101.89693660880909,34.965867208937595
136,Pontotoc,Oklahoma,13478326.3,83932245.89,-96.68437416322084,34.72806494491921
137,Navarro,Texas,17325546.54,139810188.4,-96.4723056292223,32.04702687361422
138,Nacogdoches,Texas,4523986.54,67590799.13,-94.6158437735838,31.615999794090182
139,Motley,Texas,24063892.96,128187394.41,-100.77981175793774,34.074108496785975
140,Morris,Texas,1678654.74,23521917.91,-94.73265090820263,33.113524987779044
