,name,state_name,dist_wind_,land_wind_,com_pv_tec,resid_pv_t,util_pv_te,longitude,latitude
1673,Christian,Illinois,12274492.2,13848258.87,85246.78,109715.25,91830573.58,-89.27727806985764,39.54577459834351
1674,Clinton,Illinois,8747791.19,7133144.01,78039.04,109251.71,56382646.07,-89.42230042592959,38.60660468774663
1675,Clay,Illinois,7483929.68,7570165.76,56811.08,38842.48,58487823.42,-88.4902082116683,38.754146388501425
1676,Warren,New Jersey,4966684.84,522812.15,292536.16,194951.3,7177610.27,-74.99701313930308,40.85727330786627
1677,Coles,Illinois,10146084.24,8007078.52,58220.96,122607.08,62603667.82,-88.22182553685556,39.52026525288326
1678,Fairfield,South Carolina,4379354.89,4980072.75,26028.85,48577.22,38663122.35,-81.1212177179249,34.39503434372236
1679,Edgefield,South Carolina,5035251.79,3243165.91,44465.84,52873.58,28955437.18,-81.96657243647722,33.77230769112895
1680,Dorchester,South Carolina,5533479.39,554514.92,157756.55,284778.56,38518503.4,-80.40550504715144,33.07966211236226
1681,Dillon,South Carolina,4856550.53,620713.42,92501.54,47779.59,34199750.22,-79.37893432914623,34.39152091451606
1682,Darlington,South Carolina,6183048.33,1176610.93,116660.08,134752.01,48491205.74,-79.95768657601282,34.33232969239723
1683,DeKalb,Alabama,13402869.82,7856781.46,240497.06,145522.92,57970435.72,-85.80412179213327,34.45976254661328
1684,Dale,Alabama,4910359.66,3678585.53,86839.96,94447.13,37483175.56,-85.61104503372444,31.43182129002454
1685,Dallas,Alabama,6069005.07,3810515.33,145948.06,69826.46,78181748.22,-87.10642029815273,32.32592566877779
1686,Crenshaw,Alabama,5387264.88,4055848.25,18262.57,27421.26,49034465.18,-86.31354457657113,31.731508781986324
1687,Cullman,Alabama,8862698.6,7132543.21,303457.45,187396.78,52096999.12,-86.86757428577945,34.131967628917586
1688,Tippah,Mississippi,5335838.86,4018895.05,76848.7,50161.56,28021533.5,-88.90890221291788,34.76841737350581
1689,Franklin,Tennessee,6649641.32,3863426.48,98774.75,99986.22,34852379.89,-86.0921830594052,35.15497619965171
1690,Gibson,Tennessee,11056400.95,4451588.6,144774.26,123160.88,65352875.06,-88.93262002182233,35.996598735257955
1691,Giles,Tennessee,7960580.2,6561558.35,98752.02,60623.25,20462321.03,-87.03477924504004,35.20215930803506
1692,Grainger,Tennessee,2305962.84,1862048.53,24879.84,42550.5,1715473.92,-83.50957178758522,36.276281184691676
1693,La Crosse,Wisconsin,7271770.37,3480194.26,184398.79,207095.72,11334247.98,-91.11522631770247,43.90654347056165
1694,Lafayette,Wisconsin,12313850.6,11691869.92,71290.92,53447.55,40517858.62,-90.13170702555459,42.660501706492326
1695,Columbiana,Ohio,9168182.82,6038736.83,365045.64,228739.38,20215182.42,-80.77724863870661,40.76842488688101
1696,Washington,Louisiana,5282409.32,2083135.78,171813.4,103038.88,59385074.42,-90.04055732950127,30.853322575244302
1697,Union,Louisiana,7906757.89,2220502.91,149527.32,50502.7,65945287.11,-92.37481147688068,32.83189530801717
1698,Champaign,Ohio,7557169.55,7254971.26,105654.25,113230.01,48951510.46,-83.76957021901173,40.13767390087157
1699,Clark,Ohio,6512136.65,5175399.06,270932.85,298092.53,42461886.87,-83.78357818009535,39.91678468002002
